Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
51542351,The Pink Line: Journeys Across the World's Queer Frontiers,Mark Gevisser,"Gevisser, Mark",,"=""0374279969""","=""9780374279967""",0,4.27,"Farrar, Straus and Giroux",Hardcover,544,2020,2020,,2020/12/01,to-read,to-read (#48),to-read,,,,0,0
62022,The Queen's Gambit,Walter Tevis,"Tevis, Walter",,"=""1400030609""","=""9781400030606""",0,4.18,Vintage,Paperback,258,2003,1983,,2020/11/26,to-read,to-read (#47),to-read,,,,0,0
6469165,What Alice Forgot,Liane Moriarty,"Moriarty, Liane",,"=""0141043768""","=""9780141043760""",0,4.07,Penguin Books,Paperback,487,2018,2010,,2020/11/21,to-read,to-read (#46),to-read,,,,0,0
35412372,Freshwater,Akwaeke Emezi,"Emezi, Akwaeke",,"=""0802127355""","=""9780802127358""",0,4.01,Grove Press,Hardcover,229,2018,2018,,2020/09/18,to-read,to-read (#45),to-read,,,,0,0
48595550,The Death of Vivek Oji,Akwaeke Emezi,"Emezi, Akwaeke",,"=""0525541608""","=""9780525541608""",0,4.12,Riverhead Books,Hardcover,248,2020,2020,,2020/09/18,to-read,to-read (#44),to-read,,,,0,0
28209634,Autonomous,Annalee Newitz,"Newitz, Annalee",,"=""0765392070""","=""9780765392077""",0,3.58,Tor Books,Hardcover,303,2017,2017,,2020/08/02,to-read,to-read (#43),to-read,,,,0,0
6335913,Against Interpretation and Other Essays,Susan Sontag,"Sontag, Susan",,"=""014119006X""","=""9780141190068""",0,4.14,Penguin Classics,Paperback,312,2009,1966,,2020/08/01,to-read,to-read (#42),to-read,,,,0,0
41032477,Never Let Me Go,J.J. McAvoy,"McAvoy, J.J.",,"=""1641970545""","=""9781641970549""",0,3.33,NYLA,Kindle Edition,244,2018,2018,,2020/07/13,to-read,to-read (#41),to-read,,,,0,0
4452161,"In Pursuit of the Common Good: Twenty-Five Years of Improving the World, One Bottle of Salad Dressing at a Time",Paul   Newman,"Newman, Paul",A.E. Hotchner,"=""0767929977""","=""9780767929974""",0,4.03,Crown,Paperback,272,2008,2008,,2020/06/25,to-read,to-read (#40),to-read,,,,0,0
10357575,"1Q84 (1Q84, #1-3)",Haruki Murakami,"Murakami, Haruki","Jay Rubin, Philip Gabriel","=""0307593312""","=""9780307593313""",0,3.95,Knopf,Hardcover,944,2011,2009,,2020/06/11,to-read,to-read (#39),to-read,,,,0,0
1169674,Conscious Business: How to Build Value Through Values,Fred Kofman,"Kofman, Fred",,"=""1591795176""","=""9781591795179""",0,4.03,Sounds True,Hardcover,325,2006,2005,,2020/04/26,to-read,to-read (#38),to-read,,,,0,0
641604,Purple Cow: Transform Your Business by Being Remarkable,Seth Godin,"Godin, Seth",,"=""159184021X""","=""9781591840213""",0,3.78,Portfolio,Hardcover,145,2003,,,2020/03/30,to-read,to-read (#37),to-read,,,,0,0
759945,The Magic of Thinking Big,David J. Schwartz,"Schwartz, David J.",,"=""0671646788""","=""9780671646783""",0,4.26,Touchstone,Paperback,238,1987,1959,,2020/03/30,to-read,to-read (#36),to-read,,,,0,0
13589182,Mastery,Robert Greene,"Greene, Robert",,"=""0670024961""","=""9780670024964""",0,4.26,Viking,Hardcover,318,2012,2012,,2020/03/30,to-read,to-read (#35),to-read,,,,0,0
